method, writer_ranks, reader_ranks, step_size, measured_steps, read_time
pull,8,8,512,8,16.4944
push,8,8,512,8,16.1503
impi,8,8,512,8,14.1962
pull,8,8,1024,8,14.7544
push,8,8,1024,8,16.1395
impi,8,8,1024,8,16.8
pull,8,8,2048,8,17.6937
push,8,8,2048,8,19.9114
impi,8,8,2048,8,13.6021
pull,8,4,512,8,10.9855
push,8,4,512,8,11.2769
impi,8,4,512,8,10.3773
pull,8,4,1024,8,10.6014
push,8,4,1024,8,10.8532
impi,8,4,1024,8,11.9125
pull,8,4,2048,8,11.1264
push,8,4,2048,8,12.0038
impi,8,4,2048,8,10.8637
pull,4,8,512,8,9.82194
push,4,8,512,8,10.4708
impi,4,8,512,8,9.86832
pull,4,8,1024,8,9.87915
push,4,8,1024,8,8.51566
impi,4,8,1024,8,9.62498
pull,4,8,2048,8,10.5535
push,4,8,2048,8,10.7164
impi,4,8,2048,8,9.08648
